Marka auta,Ilosc sprzedanych aut,Wojewodztwo
Bmw,2,łódzkie
Fiat,15,podkarpackie
Skoda,12,podlaskie
Volkswagen,0,łódzkie
Toyota,1,podlaskie
Fiat,5,dolnośląskie
Bmw,16,dolnośląskie
Ford,6,opolskie
Audi,12,mazowieckie
Toyota,13,podkarpackie
Seat,19,małopolskie
Volkswagen,0,śląskie
Audi,7,kujawsko-pomorskie
Honda,12,dolnośląskie
Seat,1,świętokrzyskie
Skoda,11,podkarpackie
Ford,0,małopolskie
Fiat,18,podlaskie
Volkswagen,10,pomorskie
Toyota,3,lubuskie
Honda,19,zachodniopomorskie
Honda,9,wielkopolskie
Mercedes,3,śląskie
Mercedes,20,łódzkie
Fiat,18,podkarpackie
Ford,7,łódzkie
Bmw,14,podkarpackie
Audi,4,małopolskie
Ford,12,pomorskie
Toyota,17,lubelskie
Fiat,7,kujawsko-pomorskie
Volkswagen,18,warmińsko-mazurskie
Audi,0,świętokrzyskie
Skoda,3,podlaskie
Honda,6,lubuskie
Fiat,15,podlaskie
Volkswagen,12,podkarpackie
Bmw,18,lubuskie
Skoda,19,lubuskie
Bmw,3,lubuskie
Bmw,2,mazowieckie
Fiat,11,zachodniopomorskie
Volkswagen,1,warmińsko-mazurskie
Ford,16,mazowieckie
Audi,7,wielkopolskie
Ford,0,małopolskie
Toyota,14,łódzkie
Toyota,17,łódzkie
Audi,14,małopolskie
Seat,4,lubelskie
Skoda,4,łódzkie
Audi,9,lubuskie
Mercedes,19,podkarpackie
Bmw,1,łódzkie
Toyota,3,świętokrzyskie
Honda,19,świętokrzyskie
Fiat,9,kujawsko-pomorskie
Toyota,17,pomorskie
Volkswagen,17,zachodniopomorskie
Seat,0,zachodniopomorskie
Volkswagen,18,kujawsko-pomorskie
Fiat,7,opolskie
Audi,4,dolnośląskie
Seat,4,podlaskie
Ford,17,lubuskie
Seat,4,kujawsko-pomorskie
Ford,18,wielkopolskie
Bmw,20,warmińsko-mazurskie
Toyota,11,warmińsko-mazurskie
Ford,2,łódzkie
Honda,18,podkarpackie
Volkswagen,10,mazowieckie
Fiat,6,warmińsko-mazurskie
Fiat,5,świętokrzyskie
Ford,0,wielkopolskie
Honda,16,lubuskie
Bmw,13,śląskie
Volkswagen,10,pomorskie
Ford,17,podlaskie
Skoda,13,podlaskie
Audi,2,zachodniopomorskie
Toyota,11,mazowieckie
Skoda,11,opolskie
Volkswagen,2,lubuskie
Volkswagen,6,podlaskie
Mercedes,2,podkarpackie
Honda,6,lubuskie
Toyota,18,podkarpackie
Bmw,17,śląskie
Toyota,17,lubelskie
Honda,8,lubelskie
Mercedes,3,podkarpackie
Bmw,18,śląskie
Bmw,14,wielkopolskie
Volkswagen,3,wielkopolskie
Bmw,4,opolskie
Volkswagen,8,podlaskie
Honda,9,zachodniopomorskie
Toyota,1,lubuskie
Ford,14,dolnośląskie
Toyota,10,mazowieckie
Audi,7,świętokrzyskie
Seat,19,śląskie
Fiat,12,podlaskie
Honda,14,zachodniopomorskie
Bmw,10,podkarpackie
Mercedes,20,małopolskie
Audi,2,lubuskie
Toyota,12,zachodniopomorskie
Fiat,3,warmińsko-mazurskie
Toyota,3,łódzkie
Ford,0,podlaskie
Ford,5,warmińsko-mazurskie
Bmw,13,dolnośląskie
Volkswagen,8,łódzkie
Honda,13,kujawsko-pomorskie
